tema,zn_vix,types,rasr,title,info,dlit,price,silka,platform
Машинное обучение,Junior,Курс,есть,Разработчик умных устройств,"Станьте специалистом в сфере интернета вещей - Internet of things (IoT) - с нуля и создайте сеть умных гаджетов. Изучите язык C, механизмы отладки и программирования микроконтроллеров (STM32, Arduino). Вы получите опыт работы с технологиями Wi-Fi, Bluetooth и LoRa для построения современных встраиваемых систем.",Длительность: 9 месяцев по 12 часов в неделю,от 2209 ₽,https://gb.ru/geek_university/developer/programmer/internet-of-things,GeekBrains
Машинное обучение,Junior,Курс,есть,Data Scientist в медицине: с нуля до Junior,"— Полная программа обучения Data Science с самых азов — Вы на практике научитесь анализировать медицинские данные и создавать модели машинного обучения для прогнозирования сердечно-сосудистых заболеваний, онкологии, сигналам ЭЭГ, рентгеновским изображениям — В результате вы станете квалифицированным специалистом в области медицинской аналитики",Длительность: 12 месяцев по 12 часов в неделю,от 2701 ₽,https://gb.ru/geek_university/developer/analyst/data-science-medicine-spec,GeekBrains
Машинное обучение,Middle,Курс,есть,Data Scientist в медицине: с нуля до Middle,"Поможем построить карьеру в Data Science с нуля. Вы научитесь решать задачи в области медицины: обрабатывать данные по сердечно-сосудистым заболеваниям, онкологии, сигналам ЭЭГ, рентгеновским изображениям. Всё это с помощью нейросетей и машинного обучения.",Длительность: 24 месяца по 12 часов в неделю,от 3948 ₽,https://gb.ru/geek_university/developer/analyst/data-science-medicine,GeekBrains
Машинное обучение,Junior,Курс,есть,Разработчик искусственного интеллекта,"— Полный курс по искусственному интеллекту с самых азов — Вы на практике освоите основы машинного обучения и глубокого обучения, узнаете, как создавать и обучать нейронные сети, разрабатывать алгоритмы и анализировать данные — Станете квалифицированным специалистом по искусственному интеллекту и гарантированно найдете работу с нашей помощью",Длительность: 12 месяцев по 12 часов в неделю,от 2701 ₽,https://gb.ru/geek_university/developer/programmer/ai-spec,GeekBrains
Машинное обучение,Junior,Курс,есть,Инженер данных,"Станьте востребованным инженером, занимающимся разработкой Искусственного интеллекта. Вы изучите основы программирования и основные концепции компьютерных наук, цифровые технологии, операционные системы, программное обеспечение, базы данных, системы аналитики, языки программирования и многое другое. Познакомитесь с тестированием и системным анализом. На программе сможете сделать осознанный выбор специализации и технологий, прокачаться в выбранном направлении.",Длительность: 9 месяцев по 12 часов в неделю,от 2209 ₽,https://gb.ru/geek_university/developer/programmer/ai-engineer,GeekBrains
Машинное обучение,Junior,Курс,есть,Аналитик с нуля до Junior,"Станьте профессиональным инженером-аналитиком и получите одну из самых востребованных профессий. На программе Вы научитесь собирать и обрабатывать данные, визуализировать и интерпретировать их. Получите знания по основам создания и развития процессов, функциональных и бизнес-моделей деятельности. Научитесь формировать метрики и показатели и работать с ними. Сможете превращать информацию в понятные отчеты и графики, делать выводы на ее основе, помогая специалистам и системам принимать решения на основе данных.",Длительность: 12 месяцев по 12 часов в неделю,от 2701 ₽,https://gb.ru/geek_university/developer/analyst,GeekBrains
Машинное обучение,Middle,Курс,есть,Аналитик с нуля до Middle,"Станьте инженером-аналитиком и получите одну из самых востребованных профессий в IT. Вы научитесь собирать и обрабатывать данные, визуализировать и интерпретировать данные. Сможете превращать информацию в понятные отчеты и графики, делать выводы на ее основе, помогая принимать решения на основе данных. В пакете Мастер вы получаете возможность углубленно изучить технологическую специализацию с экспертной поддержкой.",Длительность: 24 месяца по 12 часов в неделю,от 3948 ₽,https://gb.ru/geek_university/developer/analyst/master,GeekBrains
Машинное обучение,Middle+,Курс,есть,Аналитик с нуля до Pro,"Станьте профессиональным инженером-аналитиком и получите одну из самых востребованных профессий в IT. На программе Вы научитесь собирать и обрабатывать данные, визуализировать и интерпретировать их. Сможете превращать информацию в понятные отчеты и графики, делать выводы на ее основе, помогать специалистам и системам принимать решения на основе данных. В пакете PRO вы получаете возможность углубленно изучить технологическую специализацию и отрасль с экспертной поддержкой.",Длительность: 36 месяцев по 12 часов в неделю,от 5800 ₽,https://gb.ru/geek_university/developer/analyst/pro,GeekBrains
Машинное обучение,Junior,Курс,есть,Аналитик Big Data,"Станьте профессиональным аналитиком больших данных (Big Data) и получите одну из самых востребованных профессий в IT. На программе Вы научитесь собирать, обрабатывать и визуализировать данные. Получите знания по основам программирования, архитектуры, алгоритмов, структур данных. Сможете выявлять и систематизировать требования, составлять технические задания на создание и развитие систем.",Длительность: 12 месяцев по 12 часов в неделю,от 2701 ₽,https://gb.ru/geek_university/developer/analyst/big-data,GeekBrains
